family,difficulty,condition,seed,success,survived,steps,unlocks,warns,wbcr,tq,n_warns,prcr
funnel_trap,hard,robot_belief_pre,15,1,1,18,0,2,1,0.2,20,0
funnel_trap,hard,robot_belief_pre,16,0,0,13,0,2,1,0.2889,15,1
funnel_trap,hard,robot_belief_pre,17,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_pre,18,1,1,18,0,2,1,0.2,20,0
funnel_trap,hard,robot_belief_pre,19,0,0,14,0,2,1,0.25,16,0
funnel_trap,hard,robot_belief_post,0,0,0,15,0,2,1,0.2857,14,0
funnel_trap,hard,robot_belief_post,1,1,1,18,0,2,1,0.2667,15,0
funnel_trap,hard,robot_belief_post,2,1,1,18,0,2,1,0.2667,15,0
funnel_trap,hard,robot_belief_post,3,0,0,13,0,2,1,0.3095,14,1
funnel_trap,hard,robot_belief_post,4,0,0,14,0,2,1,0.2857,14,0
funnel_trap,hard,robot_belief_post,5,1,1,18,0,2,1,0.2667,15,0
funnel_trap,hard,robot_belief_post,6,0,0,14,0,2,1,0.2857,14,0
funnel_trap,hard,robot_belief_post,7,0,0,15,0,2,1,0.2857,14,0
funnel_trap,hard,robot_belief_post,8,0,0,13,0,2,1,0.3095,14,1
funnel_trap,hard,robot_belief_post,9,0,0,14,0,2,1,0.2857,14,0
funnel_trap,hard,robot_belief_post,10,1,1,18,0,2,1,0.2667,15,0
funnel_trap,hard,robot_belief_post,11,0,0,14,0,2,1,0.2857,14,0
funnel_trap,hard,robot_belief_post,12,0,0,14,0,2,1,0.2857,14,0
funnel_trap,hard,robot_belief_post,13,0,0,13,0,2,1,0.3095,14,1
funnel_trap,hard,robot_belief_post,14,1,1,18,0,2,1,0.2667,15,0
funnel_trap,hard,robot_belief_post,15,1,1,18,0,2,1,0.2667,15,0
funnel_trap,hard,robot_belief_post,16,0,0,13,0,2,1,0.3095,14,1
funnel_trap,hard,robot_belief_post,17,1,1,18,0,2,1,0.2667,15,0
funnel_trap,hard,robot_belief_post,18,1,1,18,0,2,1,0.2667,15,0
funnel_trap,hard,robot_belief_post,19,1,1,18,0,2,1,0.2667,15,0
